Index,Time,Latitude,Longitude,Height,Elevation,Azimuth,Distance,dElev,dAz,Elev Steps,Az Steps
0,882,-34.484959237523945,-82.23203577457238,389.2109188055029,0.006565718879492712,263.3692868756494,2262.3895138720463,0.0,0.0,0,0
1,983,-34.48601150461894,-82.22467912433412,389.21169344276854,0.012733188453818387,263.3683678989749,2261.704861182778,0.006167469574325675,-0.000918976674483929,0,0
2,1082,-34.48706327801869,-82.21732228059925,389.21246787806984,0.01890252408723421,263.36744851845043,2261.0202088427236,0.006169335633415823,-0.0009193805244649411,0,0
3,1183,-34.48811455769201,-82.20996524345024,389.2132421113733,0.025073727469879306,263.3665287336908,2260.3355568604297,0.006171203382645096,-0.0009197847596169595,0,0
4,1282,-34.489165343608015,-82.20260801295855,389.2140161426647,0.031246800303224298,263.3656085443132,2259.650905243426,0.006173072833344992,-0.0009201893776094039,0,0
5,1382,-34.490215635735524,-82.19525058920551,389.2147899719147,0.03742174428249015,263.36468794993203,2258.96625400016,0.006174943979265851,-0.0009205943811707584,0,0
6,1483,-34.49126543404283,-82.18789297227393,389.21556359910704,0.04359856110384223,263.36376695016236,2258.281603139232,0.006176816821352078,-0.0009209997696757455,0,0
7,1582,-34.49231473849967,-82.18053516223657,389.21633702422344,0.049777252473933026,263.3628455446178,2257.5969526683007,0.006178691370090798,-0.0009214055445454505,0,0
8,1683,-34.49336354907436,-82.17317715917856,389.21711024723356,0.055957820090805646,263.36192373291175,2256.9123025961944,0.00618056761687262,-0.0009218117060640907,0,0
9,1782,-34.49441186573574,-82.16581896317254,389.21788326812117,0.062140265665273205,263.36100151465945,2256.227652930574,0.0061824455744675585,-0.0009222182522989897,1,0
10,1882,-34.49545968845304,-82.15846057430299,389.21865608686596,0.06832459090044583,263.3600788894709,2255.5430036802054,0.006184325235172629,-0.0009226251885365855,0,0
11,1983,-34.49650701719492,-82.15110199264296,389.2194287034386,0.07451079751068466,263.3591558569611,2254.858354852813,0.006186206610238831,-0.0009230325098315006,0,0
12,2082,-34.49755385193026,-82.14374321827903,389.2202011178258,0.08069888720134731,263.35823241673944,2254.1737064573704,0.006188089690662646,-0.0009234402216407034,0,0
13,2183,-34.49860019262831,-82.13638425128171,389.22097332999624,0.08688886169306097,263.35730856841894,2253.489058501369,0.006189974491713657,-0.0009238483204967451,0,0
14,2282,-34.49964603925799,-82.12902509173256,389.22174533994274,0.09308072269987003,263.3563843116096,2252.8044109933326,0.00619186100680906,-0.0009242568093554837,0,0
15,2382,-34.500691391787775,-82.12166573971436,389.22251714762484,0.09927447193610288,263.3554596459221,2252.1197639418947,0.006193749236232851,-0.0009246656874779546,0,0
16,2483,-34.50173625018744,-82.1143061953001,389.2232887530303,0.10547011112690771,263.3545345709658,2251.435117354799,0.006195639190804833,-0.0009250749562852434,0,0
17,2582,-34.50278061442512,-82.10694645857737,389.22406015614496,0.11166764198713218,263.35360908634976,2250.7504712411396,0.006197530860224468,-0.0009254846160615671,1,0
18,2683,-34.503824484470684,-82.09958652961424,389.22483135693943,0.11786706625002298,263.35268319168364,2250.065825608213,0.006199424262890801,-0.0009258946661248046,0,0
19,2782,-34.50486786029233,-82.09222640849902,389.2256023553904,0.12406838563395994,263.3517568865754,2249.3811804651973,0.006201319383936962,-0.0009263051082371021,0,0
20,2882,-34.50591074185962,-82.08486609530357,389.22637315147347,0.13027160187316114,263.35083017063346,2248.6965358197394,0.006203216239201198,-0.0009267159419437121,0,0
21,2983,-34.506953129141586,-82.07750559011163,389.22714374517955,0.13647671669424571,263.34990304346366,2248.011891680611,0.006205114821084573,-0.0009271271698025885,0,0
22,3082,-34.507995022107025,-82.07014489300194,389.2279141364773,0.14268373182986044,263.34897550467383,2247.3272480561136,0.006207015135614724,-0.0009275387898242116,0,0
23,3183,-34.50903642072502,-82.06278400405235,389.22868432533625,0.14889264901521465,263.34804755387063,2246.6426049544757,0.0062089171853542124,-0.0009279508032022932,0,0
24,3282,-34.510077324964875,-82.05542292334235,389.2294543117553,0.15510346998713817,263.3471191906591,2245.957962384085,0.00621082097192352,-0.000928363211528449,0,0
25,3382,-34.51111773479548,-82.04806165095215,389.2302240957001,0.16131619648314072,263.3461904146449,2245.273320353393,0.006212726496002546,-0.0009287760141774015,1,0
26,3483,-34.51215765018589,-82.04070018695927,389.2309936771524,0.16753083024543505,263.3452612254335,2244.5886788706293,0.006214633762294336,-0.0009291892114333677,0,0
27,3582,-34.51319707110552,-82.03333853144241,389.2317630560909,0.17374737301732188,263.34433162262843,2243.9040379441094,0.006216542771886824,-0.0009296028050584937,0,0
28,3683,-34.51423599752346,-82.02597668448087,389.2325322324902,0.17996582654365983,263.3434016058338,2243.219397582234,0.006218453526337958,-0.0009300167946548754,0,0
29,3782,-34.515274429408365,-82.01861464615767,389.2333012063321,0.18618619256841434,263.342471174653,2242.5347577937414,0.006220366024754509,-0.0009304311807909471,0,0
30,3882,-34.51631236673044,-82.01125241654691,389.2340699775963,0.19240847284511137,263.34154032868753,2241.8501185865452,0.006222280276697023,-0.0009308459654562284,0,0
31,3983,-34.517349809457286,-82.00388999573448,389.23483854625846,0.19863266911948319,263.3406090675424,2241.165479969678,0.006224196274371818,-0.0009312611451264274,0,0
32,4082,-34.51838675755985,-81.99652738378869,389.2356069122943,0.2048587831541136,263.33967739081714,2240.4808419505266,0.0062261140346304145,-0.0009316767252585123,0,0
33,4183,-34.51942321100585,-81.98916458080154,389.2363750756846,0.21108681669389068,263.33874529811413,2239.7962045386853,0.006228033539777078,-0.0009320927030103121,1,0
34,4282,-34.520459169765246,-81.98180158684558,389.237143036414,0.21731677150220696,263.33781278903353,2239.111567741972,0.006229954808316285,-0.0009325090805987202,0,0
